weeks,language,len
2022-33,es,195.646471960737
2022-33,fr,204.3501145662848
2022-33,it,200.2076103954129
2022-33,ru,137.13221009197972
2022-33,uk,116.7863173216885
2022-34,de,210.86323228731442
2022-34,en,195.4441417987476
2022-34,es,199.04346582785246
2022-34,fr,205.2605163290395
2022-34,it,201.27539125394475
2022-34,ru,131.41013684744044
2022-34,uk,117.5720853178712
2022-35,de,207.3140634668081
2022-35,en,194.39982589871198
2022-35,es,198.09220518698953
2022-35,fr,205.98293984921028
2022-35,it,202.61931374316447
2022-35,ru,129.13129393881817
2022-35,uk,111.6680611785875
2022-36,de,206.9353320683112
2022-36,en,190.74150991265267
2022-36,es,191.87468594889393
2022-36,fr,196.7061972107641
2022-36,it,194.784435392194
2022-36,ru,132.75231683860815
2022-36,uk,112.58158851012286
2022-37,de,207.520667591997
2022-37,en,190.83552933930306
2022-37,es,198.53748730509588
2022-37,fr,205.59978540772534
2022-37,it,203.62095856102005
2022-37,ru,140.66255475105032
2022-37,uk,117.31829145287901
2022-38,de,202.9419220017912
2022-38,en,196.1716317914428
2022-38,es,200.23214600599542
2022-38,fr,203.1672676429465
2022-38,it,197.99221151012503
2022-38,ru,149.3541936412027
2022-38,uk,114.53451396070321
2022-39,de,198.64815405894245
2022-39,en,194.61238541038168
2022-39,es,198.12442326980943
2022-39,fr,199.4305465469566
2022-39,it,197.0548962104202
2022-39,ru,145.1062656641604
2022-39,uk,112.8712234651634
2022-40,de,203.32025837544765
2022-40,en,191.63783839782258
2022-40,es,199.15003115911924
2022-40,fr,201.92884526267008
2022-40,it,197.59982210362463
2022-40,ru,145.5511668357733
2022-40,uk,113.5191169869833
2022-41,de,206.91682919572906
2022-41,en,192.15805041099063
2022-41,es,195.32452390205987
2022-41,fr,202.70127616499764
2022-41,it,199.2284584980237
2022-41,ru,142.36810983483994
2022-41,uk,113.62923209434837
2022-42,de,209.01237976897235
2022-42,en,196.07050528122
2022-42,es,193.53766902768834
2022-42,fr,201.53160888111123
2022-42,it,189.55240510915843
2022-42,ru,140.7731197077868
2022-42,uk,111.53184560156915
2022-43,de,204.30248587051418
2022-43,en,185.8770846848645
2022-43,es,186.72945961650203
2022-43,fr,197.72268118663163
2022-43,it,194.53181583031557
2022-43,ru,138.9522727272727
2022-43,uk,110.93593823116518
